key,title,status,source,pdf_url,attachment_key,local_path,error
JXIHP5M6,CoCo: Code as CoT for Text-to-Image Preview and Rare Concept Generation,skipped_existing_local_pdf,,,,,
PIQKV4MH,SkillClaw: Let Skills Evolve Collectively with Agentic Evolver,skipped_existing_local_pdf,,,,,
N9FMD6SK,"Toward AI foundation models for epidemics: Promise, challenges, and paths forward",skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
RQT45DSA,Probing the psychology of AI models,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
IG8MMWB4,Neanderthal taxonomy reconsidered: Implications of 3D primate models of intra- and interspecific differences,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
9QHU4RB9,Default taxonomy: Ernst Mayr’s view of the microbial world,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
NN3EQJPZ,AI–AI bias: Large language models favor communications generated by large language models,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
A6RKKEFV,Harnessing AI and robotics in humanitarian assistance and disaster response,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
B2XHX4EB,Will your next surgeon be a robot? Autonomy and AI in robotic surgery,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
IDXX26TD,Equalizing access: How robotics and AI can transform surgical care worldwide,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
X5FKSGJD,Medical needles in the hands of AI: Advancing toward autonomous robotic navigation,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
6R7NFXN4,Enhancing social connectedness with companion robots using AI,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
P45KSC4F,Do we really want AI to be human-like?,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
8GMVWVQI,"Transparent, explainable, and accountable AI for robotics",skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
UTQA8RW5,Robotics and AI in the Global South,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
DWHV8BWN,AI-driven aerial robots advance whale research,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
IC3VGJ8A,A whole-body support pose taxonomy for multi-contact humanoid robot motions,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
WKJEMHV5,Artificial embodied circuits uncover neural architectures of vertebrate visuomotor behaviors,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
PPIFTGIS,Haptic perception using optoelectronic robotic flesh for embodied artificially intelligent agents,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
KSJ2F6ES,Efficient multitask learning with an embodied predictive model for door opening and entry with whole-body control,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
6ZGIJ5VH,Embodied manipulation with past and future morphologies through an open parametric hand design,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
3Q9648CN,Learning where to trust unreliable models in an unstructured world for deformable object manipulation,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
7CVQRDTK,Embodied aerial physical interaction: Combining body and brain for robust interaction with unstructured environments,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
NFKXSU5F,Embodied intelligence paradigm for human-robot communication,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
VIXAQ33H,A review of learning-based dynamics models for robotic manipulation,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
5TCNXJ96,The multifaceted approach to embodied intelligence in robotics,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
K33JC2NR,"Numerical Taxonomy and Biological Classification: Principles of Numerical Taxonomy . Robert Sokal and Peter Sneath. Freeman, San Francisco, Calif., 1963. 375 pp. $8.50.",skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
26MBUUEP,"Chemistry and Taxonomy: Chemical Plant Taxonomy . T. Swain, Ed. Academic Press, New York, 1963. x + 543 pp. Illus. $16.",skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
RCZKXJXV,"Old World Higher Primates: Classification and Taxonomy: Classification and Human Evolution . Edited by Sherwood L. Washburn. Aldine, Chicago, 1964. 381 pp. $7.50.",skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
QSHC5RZ9,Economic Values and Embodied Energy,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
TN5XB7JF,"Numerical Taxonomy and Biological Classification: Principles of Numerical Taxonomy . Robert Sokal and Peter Sneath. Freeman, San Francisco, Calif., 1963. 375 pp. $8.50.",skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
P8CQEQBP,"Chemistry and Taxonomy: Chemical Plant Taxonomy . T. Swain, Ed. Academic Press, New York, 1963. x + 543 pp. Illus. $16.",skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
FVXSQ8W6,"Old World Higher Primates: Classification and Taxonomy: Classification and Human Evolution . Edited by Sherwood L. Washburn. Aldine, Chicago, 1964. 381 pp. $7.50.",skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
MCKQ4RBK,Can AI models reliably forecast extreme weather events?,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
5GXEBIFC,AI & robotics briefing: Tech giants are ‘open-washing’ their AI models,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
6FGIGQDH,Designing microrobots with embodied physical intelligence,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
KRFAZZFP,Botanical Taxonomy,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
MXVDHQ44,TAXONOMY AND GENONOMY,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
9VDEBWAQ,Taxonomy Today,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
HI6GVZ5D,Insect Taxonomy,skipped_no_direct_pdf_url,,,,,no arxiv/direct PDF URL; UNPAYWALL_EMAIL not configured
